Mapping_ID_Emp_Id,Skillset,Skill_Id
109,full-cycle recruiting,451
110,test planning,452
110,test automation,453
110,wan,454
110,ospf,455
110,customer experience,456
110,bgp,457
110,switches,458
110,iptv,459
110,mentoring,460
110,dsl,461
110,tcl,462
110,vlan,463
110,cwna,464
110,mobile virtual network operator (mvno),465
112,agile,466
112,ibm db2,467
112,c#,468
112,swagger api,469
112,visual studio,470
112,selenium webdriver,471
112,mvc,472
114,analysis,473
114,project coordination,474
115,iis,475
115,websphere process server,476
115,vmware esx,477
116,mobile devices,478
116,marketing,479
116,go-to-market strategy,480
116,start-ups,481
116,p&l responsibility,482
116,strategic consulting,483
116,b2b,484
116,competitive analysis,485
116,sales operations,486
116,p&l management,487
116,customer retention,488
116,mobile technology,489
116,network architecture,490
116,saas,491
116,contract negotiation,492
116,business operations,493
116,customer service operations,494
116,operational strategy,495
116,roaming,496
117,e-commerce,497
117,solution selling,498
117,product development,499
117,online marketing,500
117,sales process,501
117,direct sales,502
117,online advertising,503
117,international sales,504
117,international business,505
117,enterprise software,506
117,key account management,507
118,knowledge management,508
118,risk management,509
118,sap hr,510
119,business planning,511
119,customer relations,512
119,channel partners,513
124,market analysis,514
124,internet research,515
124,brand development,516
124,social media marketing,517
124,smo,518
124,business-to-business (b2b),519
124,search engine optimization (seo),520
124,marketing research,521
124,qualitative research,522
124,marketing communications,523
124,market intelligence,524
124,social media roi,525
124,primary research,526
124,high-growth,527
125,b2b business development,528
125,customer relationship management,529
125,trend analysis,530
125,team managment,531
126,banking,532
126,business requirements,533
126,requirements management,534
126,requirement analysis,535
128,artificial intelligence (ai),536
128,robotic process automation (rpa),537
129,prince2,538
129,itil v3 foundations certified,539
130,solaris,540
131,cassandra,541
135,storytelling,542
135,forecasting,543
135,data mining,544
135,sow,545
136,engineering design,546
138,graduate recruitment,547
138,fmla,548
138,soft skills,549
138,grievances,550
138,generalist profile,551
139,natural language processing (nlp),552
139,qlik sense,553
139,linear algebra,554
140,multithreading,555
140,broadband,556
140,oracle sql developer,557
140,string,558
140,jdk,559
140,java virtual machine (jvm),560
140,adtran,561
140,alcatel,562
140,collection,563
140,exception handling,564
141,big data analytics,565
141,big data preparation,566
142,private equity,567
142,venture capital,568
142,due diligence,569
142,corporate finance,570
144,web applications,571
145,budgets,572
146,solutions design,573
147,windows,574
150,facilities management,575
152,technical support,576
152,network administration,577
152,software testing,578
154,healthcare,579
154,healthcare management,580
154,hipaa,581
154,healthcare information technology,582
154,continuous improvement,583
154,u.s. health insurance portability and accountability act (hipaa),584
154,healthcare information technology (hit),585
155,data structures,586
155,design patterns,587
156,vpn,588
157,oracle oss product-mss,589
157,osm ,590
157,uim,591
157,ni7,592
157,asap,593
157,billing system-amdocs ces,594
157,surepay,595
157,mpls isp,596
157,4g/3g vote,597
162,exploratory data analysis,598
162,scikit-learn,599
162,numpy,600
162,database management system (dbms),601
164,bmc remedy,602
164,web services,603
164,cmdb,604
165,adobe illustrator,605
165,sketch app,606
165,graphic design,607
168,troubleshooting,608
168,git,609
168,jenkins,610
168,docker products,611
168,lucene,612
168,continuous integration and continuous delivery (ci/cd),613
168,dashboard,614
169,vba,615
169,telecom bss,616
169,robot framework,617
169,unix shell scripting,618
169,kenan arbor,619
172,visual basic for applications (vba),620
173,manual testing,621
175,sap implementation,622
175,sap,623
175,sap products,624
175,abap,625
175,sap r/3,626
176,adaptable,627
176,conscientious,628
176,enthusiastic,629
176,computer proficient in microsoft word and excel,630
176,ability to learn new applications quickly,631
176,easily adaptable,632
176,python(begginer),633
177,microsoft exchange,634
180,salesforce.com administration,635
183,visual basic,636
183,asp.net mvc,637
183,customer service management,638
189,soapui,639
189,katalon studio,640
189,pycharm,641
190,drupal,642
195,oracle apex,643
196,css,644
196,node.js,645
196,typescript,646
200,kannada,647
201,end-to-end testing,648
201,functional testing,649
205,waste management,650
208,kubernetes,651
208,postman api,652
208,rabbitmq,653
210,business administration,654
210,commerce,655
210,process automation,656
210,automation,657
210,uipath,658
210,company operations,659
210,back-end operations,660
211,apache spark streaming,661
211,storm,662
212,anaconda,663
212,seaborn,664
212,cloudera,665
212,csharp,666
212,internet information services (iis),667
212,spyder ide,668
212,java full stack,669
214,vb script,670
215,mongodb,671
216,windows server,672
216,linux server,673
216,active directory,674
216,router configuration,675
216,lan switching,676
216,network troubleshooting,677
216,remote troubleshooting,678
217,presentation,679
220,sailpoint,680
220,oauth,681
220,identity & access management (iam),682
220,imperva,683
220,servicenow,684
220,bmc remedy ticketing system,685
220,weblogic administration,686
220,oracle identity manager,687
220,ping federate,688
221,brand awareness,689
221,3g,690
222,.net framework,691
225,struts,692
227,release management,693
227,functional analysis,694
228,email marketing,695
228,electrical engineering,696
229,user interface design,697
229,editing,698
229,css3,699
230,web design,700
232,it management,701
235,enterprise architecture,702
235,soa,703
235,security,704
236,permanent placement,705
236,information technology,706
237,client co-ordination,707
237,database design,708
237,asp.net ajax,709
237,vb.net,710
237,crystal reports,711
237,windows services,712
237,client/server,713
238,regression testing,714
238,cobol,715
238,jira,716
238,qtp,717
238,db2,718
238,hp qtp,719
238,hp quicktest professional (qtp),720
240,service-oriented architecture (soa),721
240,entrepreneur,722
240,selling,723
240,software as a service (saas),724
240,strengthening client relationships,725
242,data center,726
242,multiprotocol label switching (mpls),727
242,border gateway protocol (bgp),728
242,cisco technologies,729
242,routers,730
242,cisco systems products,731
242,technical leadership,732
242,stakeholder management,733
242,routing protocols,734
242,carrier ethernet,735
242,ipv6,736
242,mpls networking,737
242,solutions marketing,738
242,technical communication,739
242,wireless broadband,740
242,system verification,741
242,sdn,742
242,network transformation,743
242,nfv,744
242,telco cloud,745
242,technology strategy & business alignment,746
244,business alliances,747
244,infrastructure management,748
244,professional mentoring,749
245,students chairman - electrical and electronics department,750
246,uml,751
246,service assurance,752
246,revenue assurance,753
246,oracle soa suite,754
247,adobe xd,755
247,adobe lightroom,756
247,internet of thing,757
248,administration,758
248,event management,759
248,excel,760
248,lotus notes,761
248,job diva,762
248,internet,763
248,sap abab,764
250,team coordination,765
250,nextgen,766
250,email clients,767
251,headhunting,768
251,staff augmentation,769
251,job descriptions,770
251,temporary staffing,771
251,search,772
251,salary negotiation,773
251,coordination,774
253,ibm watson,775
254,ticketing tools,776
254,application support,777
254,order processing,778
256,project life cycle,779
256,product customization cycle,780
257,tcp/ip,781
257,dhcp,782
262,software documentation,783
262,vendor management,784
262,spreadsheets,785
262,office 365,786
262,active listening,787
262,time management,788
262,virtual office,789
264,mobile testing,790
264,test automation tools,791
264,ivr,792
264,icoms,793
264,cyara automation testing,794
264,ecommerce testing,795
264,telecom oss/bss testing,796
264,salesforce testing,797
