Skill_Id,Skillset
604,cmdb
605,adobe illustrator
606,sketch app
607,graphic design
608,troubleshooting
609,git
610,jenkins
611,docker products
612,lucene
613,continuous integration and continuous delivery (ci/cd)
614,dashboard
615,vba
616,telecom bss
617,robot framework
618,unix shell scripting
619,kenan arbor
620,visual basic for applications (vba)
621,manual testing
622,sap implementation
623,sap
624,sap products
625,abap
626,sap r/3
627,adaptable
628,conscientious
629,enthusiastic
630,computer proficient in microsoft word and excel
631,ability to learn new applications quickly
632,easily adaptable
633,python(begginer)
634,microsoft exchange
635,salesforce.com administration
636,visual basic
637,asp.net mvc
638,customer service management
639,soapui
640,katalon studio
641,pycharm
642,drupal
643,oracle apex
644,css
645,node.js
646,typescript
647,kannada
648,end-to-end testing
649,functional testing
650,waste management
651,kubernetes
652,postman api
653,rabbitmq
654,business administration
655,commerce
656,process automation
657,automation
658,uipath
659,company operations
660,back-end operations
661,apache spark streaming
662,storm
663,anaconda
664,seaborn
665,cloudera
666,csharp
667,internet information services (iis)
668,spyder ide
669,java full stack
670,vb script
671,mongodb
672,windows server
673,linux server
674,active directory
675,router configuration
676,lan switching
677,network troubleshooting
678,remote troubleshooting
679,presentation
680,sailpoint
681,oauth
682,identity & access management (iam)
683,imperva
684,servicenow
685,bmc remedy ticketing system
686,weblogic administration
687,oracle identity manager
688,ping federate
689,brand awareness
690,3g
691,.net framework
692,struts
693,release management
694,functional analysis
695,email marketing
696,electrical engineering
697,user interface design
698,editing
699,css3
700,web design
701,it management
702,enterprise architecture
703,soa
704,security
705,permanent placement
706,information technology
707,client co-ordination
708,database design
709,asp.net ajax
710,vb.net
711,crystal reports
712,windows services
713,client/server
714,regression testing
715,cobol
716,jira
717,qtp
718,db2
719,hp qtp
720,hp quicktest professional (qtp)
721,service-oriented architecture (soa)
722,entrepreneur
723,selling
724,software as a service (saas)
725,strengthening client relationships
726,data center
727,multiprotocol label switching (mpls)
728,border gateway protocol (bgp)
729,cisco technologies
730,routers
731,cisco systems products
732,technical leadership
733,stakeholder management
734,routing protocols
735,carrier ethernet
736,ipv6
737,mpls networking
738,solutions marketing
739,technical communication
740,wireless broadband
741,system verification
742,sdn
743,network transformation
744,nfv
745,telco cloud
746,technology strategy & business alignment
747,business alliances
748,infrastructure management
749,professional mentoring
